Date,US.GOVT.B,US.GOVT.13,US.GOVT,US.AGG,GL.AGG.H,US.MBS,US.CORP,US.CORP.IND,US.CORP.FIN,US.CORP.UTIL,US.HY,EMD.USD,US.EQ,GL.EQ,AC.EQ,EM.EQ,HF.FOFD,HF.EVENT,HF.EQUITY,HF.RV,HF.MACRO,REIT,US.PE,GOLD,COMDTY
1999-06-30,143.19,290.1299,358.8799,829.14,214.9628,865.68,995.8,980.44,994.06,1047.2,548.27,152,1372.71,1240.75,297.89,413.81,2609.1294,4518.2959,6875.4069,3592.844,5813.5289,1153.417,13050.81,262.5,122.469
1999-07-30,143.78,291.0832,358.5761,825.61,214.0692,859.81,990.29,974.79,988.84,1041.53,550.47,149.47,1328.72,1235.7,296.31,401.94,2620.3487,4554.8941,6917.3469,3622.6646,5840.2711,1111.085,13160.69,255.95,124.623
1999-08-31,144.3,291.9177,358.6487,825.19,214.2291,859.78,987.88,970.87,987.92,1036.98,544.39,149.57,1320.41,1232.16,295.6,405.3,2625.8514,4519.3659,6920.1138,3651.646,5808.1497,1086.833,12777.92,255.68,131.852
1999-09-30,144.95,293.8249,361.439,834.77,215.5189,873.73,998.61,980.41,999.13,1048.27,540.47,154.27,1282.71,1218.9,292.06,391.07,2604.0569,4592.5796,6944.3342,3669.1739,5870.8777,1046.385,12710.32,298.75,138.712
1999-10-29,145.49,294.5473,361.8707,837.85,216.0894,878.76,1003.2,983.2,1005.49,1056.67,536.88,159.73,1362.93,1280.94,306.5,399.05,2637.9096,4611.8685,7106.1372,3688.6205,5826.8461,1019.386,12632.99,299.2,133.214
1999-11-30,146,295.07,361.1941,837.79,216.8599,879.24,1004.27,982.27,1008.18,1055.92,543.19,164.01,1388.91,1315.67,315.68,434.7,2779.0378,4767.7496,7586.5121,3728.4576,6050.0143,997.9609,14118.68,290.7,136.338
1999-12-31,146.63,295.4626,358.8676,833.75,216.6239,877.09,998.95,976.31,1003.48,1051.88,549.3,171.59,1469.25,1420.88,341.63,489.42,2993.8574,4929.3763,8411.9246,3784.7573,6462.6253,1027.917,16170.54,288,140.257
2000-01-31,147.24,295.3757,359.7158,831.02,216.2309,869.49,995.43,972.69,1000.03,1049.01,546.93,168.95,1394.46,1338.25,322.83,491.39,3045.0524,4965.8537,8432.9544,3853.6399,6536.2992,1031.409,16916.15,283.5,147.861
2000-02-29,147.91,297.3254,365.1246,841.07,218.2874,879.57,1004.66,983.14,1006.31,1057.18,547.99,178.03,1366.42,1340.58,323.59,497.74,3209.4852,5152.5698,9276.2499,3902.5811,6776.1814,1017.948,21024.74,292.2,150.446
2000-03-31,148.62,299.159,372.3492,852.15,221.1969,889.19,1013.22,990.81,1015.3,1057.92,536.47,182.87,1498.58,1431.94,344.5,499.4,3209.8061,5154.1156,9436.729,3972.8276,6622.3621,1050.948,18989.74,279.07,151.904
2000-04-28,149.39,299.9005,371.2505,849.71,221.3908,889.8,1004.32,980.66,1007.02,1051.65,537.33,179.5,1452.43,1370.11,328.68,451.36,3074.3523,5077.8347,9041.3301,4028.8444,6378.6591,1120.168,15985.04,273.55,150.039
2000-05-31,150.18,301.1362,371.7996,849.32,221.9728,890.21,1000.58,976.56,1002.83,1051.48,531.82,175.35,1420.6,1334.14,319.78,431.7,3019.014,5038.7354,8820.7216,4056.2406,6280.4278,1131.892,14496.58,272.1,160.137
2000-06-30,150.9,304.3006,378.0756,866.99,224.733,909.24,1025.71,1003.51,1022.19,1083.7,542.65,183.52,1454.6,1377.72,330.21,445.52,3109.8863,5185.8664,9248.5266,4144.6666,6358.3051,1161.923,16416.42,289.52,163.916
2000-07-31,151.6,306.2083,381.9279,874.86,226.4867,915.08,1038.15,1014.95,1035.02,1099.67,546.79,188.76,1430.83,1337.65,320.16,422.08,3098.3797,5193.6452,9102.3999,4183.212,6361.4842,1260.659,15629.41,277.25,155.704
2000-08-31,152.34,308.4633,387.4928,887.54,228.1489,928.95,1051.14,1026.83,1049,1114.31,550.53,194.78,1517.68,1379.87,329.76,423.56,3146.4046,5298.0375,9589.3783,4249.7251,6471.5379,1210.663,16822.3,277.85,171.018
2000-09-29,153.19,310.7076,387.8425,893.12,230.0034,938.58,1056.9,1029.35,1059.85,1118.13,545.72,192.68,1436.51,1305.24,311.31,386.03,3106.4453,5331.4151,9485.813,4288.3976,6329.8112,1249.595,16563.45,274.25,169.956
2000-10-31,153.96,312.3813,391.6089,899.03,231.7256,945.32,1057.16,1027.8,1061.31,1124.41,528.24,188.77,1429.4,1282.14,304.89,357.85,3071.3424,5261.0404,9295.1481,4269.0998,6283.6036,1196.018,15100.22,265.15,165.847
2000-11-30,154.8,315.3233,399.6121,913.73,235.6247,959.54,1069.71,1039.99,1071.61,1147.21,507.32,188.01,1314.95,1203.05,285.68,326.36,3036.9434,5138.9843,8895.4568,4264.8307,6299.3126,1210.257,13103.99,270.45,179.184
2000-12-29,155.74,319.1152,407.2527,930.68,239.0191,974.99,1089.65,1057.15,1099.33,1151.3,517.12,196.31,1320.28,1221.25,290.11,333.79,3067.9202,5261.806,9176.5532,4292.1256,6589.7109,1294.047,13212.15,272.25,184.917
2001-01-31,156.75,323.1257,410.4214,945.9,242.2957,990.17,1120.84,1092.27,1125.95,1174.92,555.86,205.78,1366.01,1244.22,297.27,379.02,3121.6088,5503.3229,9440.8379,4379.685,6731.3897,1312.883,15178.17,265.85,180.573
2001-02-28,157.35,325.2676,415.4264,954.14,244.4284,995.84,1130.31,1098.47,1139.47,1186.25,563.26,203.04,1239.94,1137.88,271.97,349.02,3108.4981,5482.4103,9199.1525,4425.6717,6616.283,1295.873,13936.71,267.15,179.812
2001-03-30,158.13,327.9674,416.7911,958.93,246.0392,1001.62,1137.25,1104.67,1147.94,1190.53,550,200.77,1160.33,1061.26,253.12,313.14,3104.7679,5468.7043,8987.572,4437.1784,6671.1981,1307.675,13290.24,257.95,172.151
2001-04-30,158.8,328.8206,411.6578,954.95,244.8569,1003.01,1133.53,1099.67,1147.74,1180.45,543.15,199.8,1249.46,1138.09,271.09,327.71,3123.3965,5535.9693,9191.5899,4470.901,6663.1927,1342.063,14018.97,264.05,178.208
2001-05-31,159.42,330.6298,413.0388,960.71,246.3151,1009.66,1143.59,1111.25,1156.07,1187.81,552.93,204.62,1255.82,1121.09,267.37,330.54,3154.9428,5643.3671,9274.3142,4512.4803,6656.5295,1376.063,15479.08,265.85,174.471
2001-06-29,159.88,331.7591,415.1941,964.34,247.5474,1011.82,1149.31,1116.23,1162.39,1195.01,537.42,207.74,1224.42,1084.79,258.84,322.89,3155.5738,5706.0085,9244.6364,4502.1016,6685.1525,1456.511,15933.11,270.85,167.513
2001-07-31,160.4,335.512,425.4754,985.9,251.2097,1029.78,1180.46,1148.15,1190.36,1231.35,545.33,196.98,1211.23,1069.67,254.54,301.67,3137.587,5723.1265,9146.6432,4533.6164,6665.0971,1431.317,15458.33,266.65,169.694
2001-08-31,160.91,337.5517,430.9716,997.19,253.5504,1038.87,1195.79,1163.29,1205.06,1248.87,551.76,205.8,1133.58,1016.73,242.41,298.17,3152.6474,5796.9549,9035.0542,4572.1521,6703.0881,1479.801,14922.21,274.4,169.62
2001-09-28,161.63,343.0215,437.9062,1008.81,255.5888,1054.43,1191.78,1151.58,1210.72,1252.02,514.68,199.07,1040.94,926.02,219.96,251.4,3090.225,5607.9742,8698.0467,4583.1253,6745.3176,1420.491,13126.12,293.25,158.178
2001-10-31,162.05,346.1993,449.8077,1029.92,260.238,1069.01,1221.11,1185.8,1233.76,1275.21,527.41,199.18,1059.78,943.2,224.48,266.86,3108.7663,5724.0592,8858.9605,4622.0818,6928.1157,1382.22,14220.13,279.65,150.67
